Time	root mean square voltage																			
	0.50V (±0.005)		1.00V (±0.005 V)		1.50 V (±0.005 V)		2.00 V (±0.005 V)		2.50V (±0.005 V)		3.00V  (±0.005 V)		3.50V  (±0.005 V)		4.00V  (±0.005 V)		4.50V  (±0.005 V)		5.00V  (±0.005 V)	
	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)
0	0.465	-0.0045	1.019	0.0185	1.144	0.0046	2.409	-0.0145	2.261	-0.0247	2.681	-0.0302	2.67	-0.0193	3.226	-0.038	4.784	-0.0459	4.963	0.0816
0.001	0.415	-0.0039	1.172	0.0118	1.306	0.02	2.189	-0.0193	2.007	-0.0235	2.379	-0.0272	2.702	0.0133	2.982	-0.0145	4.296	-0.0462	4.963	0.0629
0.002	0.367	-0.0042	1.155	-0.0066	1.579	0.0275	1.968	-0.0199	1.83	-0.0111	2.224	-0.0072	3.078	0.0438	3.11	0.023	3.821	-0.045	4.963	0.0024
0.003	0.335	-0.0015	1.051	-0.0087	1.847	0.023	1.757	-0.0196	1.885	0.0121	2.36	0.0218	3.663	0.0589	3.593	0.0538	3.455	-0.0278	4.963	-0.048
0.004	0.352	0.004	0.949	-0.0093	1.921	-0.0003	1.555	-0.0178	2.174	0.0333	2.761	0.0441	4.23	0.0487	4.26	0.0665	3.449	0.0118	4.963	-0.051
0.005	0.429	0.0094	0.845	-0.0087	1.769	-0.0145	1.453	-0.0042	2.603	0.0435	3.292	0.0514	4.413	0.0037	4.828	0.0451	3.871	0.0511	4.665	-0.0507
0.006	0.537	0.0112	0.749	-0.0084	1.598	-0.0157	1.551	0.0154	2.992	0.0311	3.693	0.0296	4.105	-0.0335	4.908	-0.0075	4.578	0.0722	4.147	-0.0489
0.007	0.611	0.0049	0.682	-0.0039	1.43	-0.0151	1.835	0.0308	3.064	-0.0033	3.677	-0.0139	3.712	-0.0365	4.505	-0.0395	4.963	0.0644	3.803	-0.0229
0.008	0.577	-0.0039	0.707	0.0061	1.27	-0.0151	2.203	0.0351	2.812	-0.0241	3.35	-0.0296	3.328	-0.0365	4.069	-0.0407	4.963	0.0133	3.895	0.0221
0.009	0.526	-0.0042	0.839	0.0151	1.143	-0.0093	2.464	0.0182	2.537	-0.0247	3.017	-0.0305	2.956	-0.0347	3.64	-0.0407	4.963	-0.0417	4.436	0.062
0.010	0.472	-0.0045	1.025	0.0191	1.141	0.0049	2.415	-0.0136	2.269	-0.0247	2.693	-0.0299	2.68	-0.0196	3.232	-0.038	4.794	-0.0462	4.963	0.081
0.011	0.422	-0.0042	1.181	0.0118	1.303	0.02	2.194	-0.0193	2.015	-0.0235	2.392	-0.0272	2.705	0.0121	2.986	-0.0148	4.306	-0.0462	4.963	0.0617
0.012	0.374	-0.0045	1.166	-0.0063	1.578	0.0275	1.975	-0.0199	1.838	-0.0114	2.233	-0.0075	3.073	0.0432	3.108	0.023	3.83	-0.0456	4.963	0.0015
0.013	0.34	-0.0018	1.06	-0.0084	1.849	0.0236	1.761	-0.0193	1.888	0.0121	2.367	0.0209	3.65	0.0586	3.589	0.0535	3.46	-0.0284	4.963	-0.048
0.014	0.352	0.0037	0.956	-0.0093	1.928	0.0003	1.563	-0.0178	2.174	0.0327	2.764	0.0441	4.213	0.0484	4.257	0.0665	3.449	0.0112	4.963	-0.0507
0.015	0.425	0.0091	0.855	-0.009	1.777	-0.0145	1.459	-0.0045	2.599	0.0429	3.292	0.0514	4.403	0.0046	4.83	0.0456	3.866	0.0508	4.643	-0.0507
0.016	0.53	0.0109	0.756	-0.009	1.607	-0.0154	1.556	0.0151	2.983	0.0311	3.694	0.0296	4.097	-0.0335	4.915	-0.0069	4.578	0.0725	4.129	-0.0486
0.017	0.602	0.0049	0.687	-0.0042	1.439	-0.0151	1.839	0.0308	3.056	-0.0033	3.682	-0.0139	3.708	-0.0362	4.516	-0.0395	4.963	0.065	3.784	-0.0229
0.018	0.568	-0.0036	0.707	0.0052	1.276	-0.0151	2.206	0.0351	2.807	-0.0238	3.352	-0.0293	3.321	-0.0359	4.077	-0.0407	4.963	0.0145	3.876	0.0224
0.019	0.518	-0.0042	0.833	0.0148	1.146	-0.0096	2.467	0.0185	2.533	-0.0247	3.022	-0.0305	2.95	-0.035	3.65	-0.0407	4.963	-0.042	4.424	0.0626
